"","Agapostemon.chapadensis.cer","Ancyloscelis.romeroi.cer","Ancyloscelis.sp..cer","Anthidium.sertanicola.cer","Anthodioctes.megachiloides.cer","Apis.mellifera.cer","Arhysoceble.sp.cer","Augochlorella.ephyra.cer","Augochloropsis.smithiana.cer","Augochloropsis.sp.cer","Bombus.brevivillus.cer","Bombus.morio.cer","Bombus.pauloensis.cer","Centris.aenea.cer","Centris.analis.cer","Centris.bicolor.cer","Centris.burgdorfi.cer","Centris.fuscata.cer","Centris.lateritia.cer","Centris.machadoi.cer","Centris.mocsaryi.cer","Centris.nitens.cer","Centris.rupestris.cer","Centris.scopipes.cer","Centris.tarsata.cer","Centris.varia.cer","Ceratalictus.clonius.cer","Ceratina.sp.cer","Coelioxys.sp.cer","Colletes.sp.cer","Ctenioschelus.goeryi.cer","Dialictus.rostratus.cer","Dialictus.sp.cer","Epanthidium.aureocinctum.cer","Epanthidium.tigrinum.cer","Epicharis.analis.cer","Epicharis.bicolor.cer","Epicharis.cockerelli.cer","Epicharis.flava.cer","Epicharis.iheringii.cer","Epicharis.morio.cer","Epicharis.picta.cer","Epicharis.xanthogastra.cer","Eufriesea.violacens.cer","Euglossa.melanotricha.cer","Euglossa.sp.cer","Eulaema.nigrita.cer","Exaerete.dentata.cer","Exomalopsis.auropilosa.cer","Exomalopsis.campestris.cer","Exomalopsis.fulvofasciata.cer","Exomalopsis.sp.cer","Gaesischia.belophora.cer","Gaesischia.nigra.cer","Geotrigona.mombuca.cer","Hypanthidium.nigritulum.cer","Larocanthidium.sp.cer","Lasioglossum.sp.cer","Lithurgus.huberi.cer","Megachile.aureiventris.cer","Megachile.frankieana.cer","Megachile.rubricata.cer","Megachile.sp.cer","Megachile.terrestris.cer","Melissoptila.richardia.cer","Melissoptila.sp.cer","Monoeca.pluricincta.cer","Monoeca.sp.cer","Oxaea.flavescens.cer","Paratetrapedia.flaveola.cer","Paratetrapedia.punctata.cer","Paratetrapedia.pygmaea.cer","Paratrigona.lineata.cer","Paraxystoglossa.mimetica.cer","Partamona.cupira.cer","Pseudagapostemon.sp.cer","Rhinocorynura.sp.cer","Scaptotrigona.postica.cer","Schwarziana.quadripunctata.cer","Temnostoma.sp.cer","Tetragona.quadrangula.cer","Tetrapedia.diversipes.cer","Tetrapedia.peckoltii.cer","Trigona.spinipes.cer","Tropidopedia.carinata.cer","Tropidopedia.flavolineata.cer","Xanthopedia.larocai.cer","Xylocopa.cearensis.cer","Xylocopa.grisescens.cer","Xylocopa.hirsutissima.cer","Xylocopa.sp..cer","Xylocopa.subcyanea.cer","Xylocopa.vestita.cer"
"Cuphea linarioides",0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Dalechampia linearis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deianira chiquitana",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dimerostemma vestitum",0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diplusodon oblongus",0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,10,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,0,22,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0
"Eriope complicata",0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erythroxylum campestre",0,0,0,0,0,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eugenia complicata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galactia heringeri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Galactia stereophylla",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,2,0
"Galianthe ramosa",0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heteropterys campestris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
"Hoehnephytum trixoides",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hypenia macrantha",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
